Imagem,Tipo,Numero,x,y,w,h,area,perimetro,aspect ratio,extent,solidity
1.tif,NC,NC37,785,690,4,4,8.0,10.828427076339722,1.0,0.5,1.0
1.tif,NC,NC38,547,689,2,4,2.5,7.414213538169861,0.5,0.3125,1.0
1.tif,NC,NC39,366,686,2,2,1.0,4.0,1.0,0.25,1.0
1.tif,NC,NC40,654,685,4,4,7.0,9.656854152679443,1.0,0.4375,1.0
1.tif,NC,NC41,757,684,4,3,4.5,8.242640614509583,1.3333333333333333,0.375,1.0
1.tif,NC,NC42,399,682,2,1,0.0,2.0,2.0,0.0,0
1.tif,NC,NC43,609,680,6,6,13.0,15.313708186149597,1.0,0.3611111111111111,0.9285714285714286
1.tif,NC,NC44,981,676,4,3,5.0,8.828427076339722,1.3333333333333333,0.4166666666666667,1.0
1.tif,NC,NC45,631,676,4,5,10.0,11.656854152679443,0.8,0.5,1.0
1.tif,NC,NC46,592,676,3,2,2.0,6.0,1.5,0.3333333333333333,1.0
1.tif,NC,NC47,308,676,4,4,7.5,10.242640614509583,1.0,0.46875,1.0
1.tif,NC,NC48,839,675,4,4,6.0,9.656854152679443,1.0,0.375,1.0
1.tif,NC,NC49,703,672,9,7,32.0,23.313708305358887,1.2857142857142858,0.5079365079365079,0.8888888888888888
1.tif,NC,NC50,736,670,4,4,8.0,10.828427076339722,1.0,0.5,1.0
1.tif,NC,NC51,150,667,3,2,2.0,6.0,1.5,0.3333333333333333,1.0
1.tif,NC,NC52,478,666,3,3,2.5,7.414213538169861,1.0,0.2777777777777778,0.8333333333333334
1.tif,NC,NC53,799,664,4,2,0.0,6.828427076339722,2.0,0.0,0.0
1.tif,NC,NC54,799,663,2,1,0.0,2.0,2.0,0.0,0
1.tif,NC,NC55,436,663,1,2,0.0,2.0,0.5,0.0,0
1.tif,NC,NC56,343,662,11,8,50.5,27.55634891986847,1.375,0.5738636363636364,0.9619047619047619
1.tif,NC,NC57,796,658,4,4,6.0,9.656854152679443,1.0,0.375,0.9230769230769231
1.tif,NC,NC58,16,657,4,4,5.5,10.242640614509583,1.0,0.34375,0.9166666666666666
1.tif,NC,NC59,697,656,5,7,17.0,16.485281229019165,0.7142857142857143,0.4857142857142857,0.9444444444444444
1.tif,NC,NC60,158,656,1,1,0.0,0.0,1.0,0.0,0
1.tif,NC,NC61,616,652,2,2,1.0,4.0,1.0,0.25,1.0
1.tif,NC,NC62,766,649,4,3,4.0,7.656854152679443,1.3333333333333333,0.3333333333333333,1.0
1.tif,NC,NC63,635,648,3,4,5.0,8.828427076339722,0.75,0.4166666666666667,1.0
1.tif,NC,NC64,965,645,3,1,0.0,4.0,3.0,0.0,0
1.tif,NC,NC65,679,643,2,2,1.0,4.0,1.0,0.25,1.0
1.tif,NC,NC66,716,641,2,3,2.0,6.0,0.6666666666666666,0.3333333333333333,1.0
1.tif,NC,NC67,400,638,3,1,0.0,4.0,3.0,0.0,0
1.tif,NC,NC68,794,632,3,3,3.5,7.414213538169861,1.0,0.3888888888888889,1.0
1.tif,NC,NC69,367,621,12,11,67.5,33.21320307254791,1.0909090909090908,0.5113636363636364,0.9507042253521126
1.tif,NC,NC70,714,618,3,2,2.0,6.0,1.5,0.3333333333333333,1.0
1.tif,NC,NC71,626,617,3,3,2.0,5.656854152679443,1.0,0.2222222222222222,1.0
1.tif,NC,NC72,450,617,3,3,3.0,6.828427076339722,1.0,0.3333333333333333,1.0
1.tif,NC,NC73,905,616,3,3,3.5,7.414213538169861,1.0,0.3888888888888889,1.0
1.tif,NC,NC74,681,614,3,3,4.0,8.0,1.0,0.4444444444444444,1.0
1.tif,NC,NC75,810,613,4,5,8.0,11.656854152679443,0.8,0.4,0.8888888888888888
1.tif,NC,NC76,792,610,3,3,3.5,7.414213538169861,1.0,0.3888888888888889,1.0
1.tif,NC,NC77,710,609,2,3,2.0,6.0,0.6666666666666666,0.3333333333333333,1.0
1.tif,NC,NC78,629,605,5,3,6.0,9.656854152679443,1.6666666666666667,0.4,1.0
1.tif,NC,NC79,994,604,1,1,0.0,0.0,1.0,0.0,0
1.tif,NC,NC80,932,603,2,2,1.0,4.0,1.0,0.25,1.0
1.tif,NC,NC81,257,603,2,2,1.0,4.0,1.0,0.25,1.0
1.tif,NC,NC82,668,602,3,3,3.0,6.828427076339722,1.0,0.3333333333333333,1.0
1.tif,NC,NC83,952,597,8,12,53.5,29.55634880065918,0.6666666666666666,0.5572916666666666,0.9385964912280702
1.tif,NC,NC84,405,597,4,3,5.0,8.828427076339722,1.3333333333333333,0.4166666666666667,1.0
1.tif,NC,NC85,732,594,4,4,5.5,10.242640614509583,1.0,0.34375,0.9166666666666666
1.tif,NC,NC86,687,590,5,7,17.0,17.656854152679443,0.7142857142857143,0.4857142857142857,0.8947368421052632
1.tif,NC,NC87,664,589,4,4,7.0,9.656854152679443,1.0,0.4375,1.0
1.tif,NC,NC88,12,586,10,12,44.5,31.213202714920044,0.8333333333333334,0.37083333333333335,0.898989898989899
1.tif,NC,NC89,694,585,3,3,2.5,7.414213538169861,1.0,0.2777777777777778,0.8333333333333334
1.tif,NC,NC90,285,583,9,7,35.0,23.313708186149597,1.2857142857142858,0.5555555555555556,0.9459459459459459
1.tif,NC,NC91,962,576,3,4,4.5,8.242640614509583,0.75,0.375,1.0
1.tif,NC,NC92,749,575,3,2,2.0,6.0,1.5,0.3333333333333333,1.0
1.tif,NC,NC93,402,575,2,3,2.0,6.0,0.6666666666666666,0.3333333333333333,1.0
1.tif,NC,NC94,813,573,2,2,1.0,4.0,1.0,0.25,1.0
1.tif,NC,NC95,734,572,6,10,34.5,23.899494767189026,0.6,0.575,0.9452054794520548
1.tif,NC,NC96,992,568,2,2,0.5,3.414213538169861,1.0,0.125,1.0
1.tif,NC,NC97,936,564,1,1,0.0,0.0,1.0,0.0,0
1.tif,NC,NC98,681,564,3,2,1.5,5.414213538169861,1.5,0.25,1.0
1.tif,NC,NC99,73,557,2,2,1.0,4.0,1.0,0.25,1.0
1.tif,NC,NC100,734,555,7,7,22.5,19.899494767189026,1.0,0.45918367346938777,0.9183673469387755
1.tif,NC,NC101,348,554,5,4,7.0,11.656854152679443,1.25,0.35,0.875
1.tif,NC,NC102,951,552,1,1,0.0,0.0,1.0,0.0,0
1.tif,NC,NC103,710,552,2,3,1.5,5.414213538169861,0.6666666666666666,0.25,1.0
1.tif,NC,NC104,143,552,1,3,0.0,4.0,0.3333333333333333,0.0,0
1.tif,NC,NC105,480,550,122,123,11142.0,429.1025935411453,0.991869918699187,0.7425029988004798,0.973057945067901
1.tif,NC,NC106,422,548,57,57,2421.5,184.75230646133423,1.0,0.7453062480763312,0.9853509664292981
1.tif,NC,NC107,869,543,3,2,2.0,6.0,1.5,0.3333333333333333,1.0
1.tif,NC,NC108,504,532,14,9,59.5,34.3847758769989,1.5555555555555556,0.4722222222222222,0.9083969465648855
1.tif,NC,NC109,416,532,8,5,20.0,20.485281229019165,1.6,0.5,0.8333333333333334
1.tif,NC,NC110,892,525,4,5,8.5,11.071067690849304,0.8,0.425,1.0
1.tif,NC,NC111,0,508,1,1,0.0,0.0,1.0,0.0,0
1.tif,NC,NC112,682,507,2,4,3.0,8.0,0.5,0.375,1.0
1.tif,NC,NC113,951,485,4,2,2.5,7.414213538169861,2.0,0.3125,1.0
1.tif,NC,NC114,570,483,2,1,0.0,2.0,2.0,0.0,0
1.tif,C,C1,480,477,13,11,91.5,36.38477575778961,1.1818181818181819,0.6398601398601399,0.9891891891891892
1.tif,C,C2,522,476,21,22,258.5,73.35533857345581,0.9545454545454546,0.5595238095238095,0.8807495741056218
1.tif,NC,NC115,553,474,2,1,0.0,2.0,2.0,0.0,0
1.tif,C,C3,566,465,15,16,133.5,45.6984840631485,0.9375,0.55625,0.956989247311828
1.tif,NC,NC116,830,460,3,3,3.5,7.414213538169861,1.0,0.3888888888888889,1.0
1.tif,NC,NC117,974,457,5,5,13.0,13.656854152679443,1.0,0.52,0.9629629629629629
1.tif,C,C4,465,455,17,19,191.5,54.52691113948822,0.8947368421052632,0.5928792569659442,0.9671717171717171
1.tif,C,C5,551,451,13,18,142.0,46.28427052497864,0.7222222222222222,0.6068376068376068,0.9793103448275862
1.tif,C,C6,529,451,14,16,149.0,47.79898941516876,0.875,0.6651785714285714,0.9490445859872612
1.tif,NC,NC118,771,442,1,1,0.0,0.0,1.0,0.0,0
1.tif,NC,NC119,424,441,6,7,23.0,18.485281229019165,0.8571428571428571,0.5476190476190477,0.9787234042553191
1.tif,NC,NC120,770,437,4,4,5.5,12.242640614509583,1.0,0.34375,0.6875
1.tif,NC,NC121,954,436,4,5,9.0,11.656854152679443,0.8,0.45,1.0
1.tif,C,C7,510,429,15,28,238.5,70.52691125869751,0.5357142857142857,0.5678571428571428,0.8579136690647482
1.tif,NC,NC122,214,429,3,2,2.0,6.0,1.5,0.3333333333333333,1.0
1.tif,C,C8,556,427,15,16,133.5,46.870057106018066,0.9375,0.55625,0.9434628975265018
1.tif,C,C9,451,421,16,23,246.5,65.6984840631485,0.6956521739130435,0.6698369565217391,0.9197761194029851
1.tif,C,C10,574,420,13,13,105.0,38.62741661071777,1.0,0.621301775147929,0.9767441860465116
1.tif,NC,NC123,978,419,6,5,12.5,13.899494767189026,1.2,0.4166666666666667,0.9615384615384616
1.tif,C,C11,473,417,29,45,502.5,148.46803629398346,0.6444444444444445,0.3850574712643678,0.6348704990524321
1.tif,NC,NC124,761,413,5,5,10.5,13.071067690849304,1.0,0.42,0.9130434782608695
1.tif,NC,NC125,196,410,7,5,16.0,16.485281229019165,1.4,0.45714285714285713,0.9142857142857143
1.tif,NC,NC126,946,406,3,2,2.0,6.0,1.5,0.3333333333333333,1.0
1.tif,C,C12,554,405,14,14,120.0,42.627416253089905,1.0,0.6122448979591837,0.9523809523809523
1.tif,C,C13,510,404,26,16,287.5,77.35533833503723,1.625,0.6911057692307693,0.8455882352941176
1.tif,NC,NC127,184,404,2,1,0.0,2.0,2.0,0.0,0
1.tif,NC,NC128,339,403,3,2,1.0,4.828427076339722,1.5,0.16666666666666666,1.0
1.tif,NC,NC129,823,397,4,1,0.0,6.0,4.0,0.0,0
1.tif,NC,NC130,745,391,5,5,12.0,13.656854152679443,1.0,0.48,0.9230769230769231
1.tif,NC,NC131,286,390,2,2,1.0,4.0,1.0,0.25,1.0
1.tif,C,C14,591,389,19,28,252.0,76.0832599401474,0.6785714285714286,0.47368421052631576,0.805111821086262
1.tif,NC,NC132,729,378,3,5,6.5,10.242640614509583,0.6,0.43333333333333335,1.0
1.tif,NC,NC133,306,377,3,2,1.5,5.414213538169861,1.5,0.25,1.0
1.tif,NC,NC134,67,377,7,8,33.0,21.313708305358887,0.875,0.5892857142857143,0.9850746268656716
1.tif,C,C15,552,372,16,19,181.5,53.69848418235779,0.8421052631578947,0.5970394736842105,0.9477806788511749
1.tif,C,C16,422,370,27,37,432.5,103.9827550649643,0.7297297297297297,0.43293293293293295,0.8152686145146089
1.tif,C,C17,502,367,16,16,130.0,47.11269783973694,1.0,0.5078125,0.9285714285714286
1.tif,NC,NC135,693,362,5,5,15.0,14.828427076339722,1.0,0.6,1.0
1.tif,NC,NC136,892,361,1,1,0.0,0.0,1.0,0.0,0
1.tif,C,C18,579,358,21,26,274.0,72.42640590667725,0.8076923076923077,0.5018315018315018,0.9057851239669421
1.tif,C,C19,487,354,16,16,142.0,45.94112515449524,1.0,0.5546875,0.9692832764505119
1.tif,C,C20,439,349,42,42,547.0,126.50966691970825,1.0,0.3100907029478458,0.8032305433186491
1.tif,C,C21,560,347,14,22,196.0,57.455843687057495,0.6363636363636364,0.6363636363636364,0.9537712895377128
1.tif,NC,NC137,108,333,2,4,2.5,7.414213538169861,0.5,0.3125,1.0
1.tif,C,C22,528,332,28,26,318.0,79.39696896076202,1.0769230769230769,0.4368131868131868,0.8907563025210085
1.tif,C,C23,464,332,21,19,193.5,60.183765172958374,1.105263157894737,0.4849624060150376,0.8775510204081632
1.tif,C,C24,594,331,23,25,273.0,70.9116872549057,0.92,0.4747826086956522,0.9115191986644408
1.tif,NC,NC138,825,329,5,5,13.5,14.242640614509583,1.0,0.54,1.0
1.tif,NC,NC139,408,328,2,3,0.5,5.414213538169861,0.6666666666666666,0.08333333333333333,0.5
1.tif,NC,NC140,194,321,2,3,0.0,4.828427076339722,0.6666666666666666,0.0,0.0
1.tif,NC,NC141,697,318,4,4,6.5,10.242640614509583,1.0,0.40625,0.9285714285714286
1.tif,C,C25,642,318,19,17,207.5,55.69848430156708,1.1176470588235294,0.6424148606811145,0.9651162790697675
1.tif,NC,NC142,69,313,1,3,0.0,4.0,0.3333333333333333,0.0,0
1.tif,NC,NC143,752,311,5,6,14.0,15.656854152679443,0.8333333333333334,0.4666666666666667,0.9032258064516129
1.tif,C,C26,516,311,17,19,183.0,57.455843567848206,0.8947368421052632,0.56656346749226,0.8970588235294118
1.tif,C,C27,420,311,15,32,315.5,86.52691113948822,0.46875,0.6572916666666667,0.8379814077025233
1.tif,C,C28,442,309,18,16,174.5,54.041630148887634,1.125,0.6059027777777778,0.9257294429708223
1.tif,NC,NC144,141,304,5,5,11.0,12.485281229019165,1.0,0.44,1.0
1.tif,NC,NC145,852,301,13,10,42.0,33.79898941516876,1.3,0.3230769230769231,0.75
1.tif,C,C29,479,299,27,28,301.0,92.56854176521301,0.9642857142857143,0.39814814814814814,0.7659033078880407
1.tif,C,C30,546,290,79,39,962.0,263.76449954509735,2.0256410256410255,0.31223628691983124,0.5015641293013556
1.tif,C,C31,448,288,22,17,243.0,63.94112491607666,1.2941176470588236,0.6497326203208557,0.9364161849710982
1.tif,C,C32,530,283,1,1,0.0,0.0,1.0,0.0,0
1.tif,NC,NC146,366,279,5,5,12.5,13.071067690849304,1.0,0.5,1.0
1.tif,NC,NC147,62,277,5,4,9.0,11.656854152679443,1.25,0.45,0.9473684210526315
1.tif,NC,NC148,863,276,3,1,0.0,4.0,3.0,0.0,0
1.tif,C,C33,640,276,19,37,412.0,97.25483298301697,0.5135135135135135,0.5860597439544808,0.8264794383149449
1.tif,C,C34,597,264,16,17,143.5,46.18376541137695,0.9411764705882353,0.5275735294117647,0.9862542955326461
1.tif,C,C35,512,264,45,25,440.0,169.6812388896942,1.8,0.39111111111111113,0.6456346294937637
1.tif,NC,NC149,111,263,4,3,5.0,8.828427076339722,1.3333333333333333,0.4166666666666667,1.0
1.tif,NC,NC150,112,260,1,1,0.0,0.0,1.0,0.0,0
1.tif,C,C36,484,259,23,33,386.0,90.0832599401474,0.696969696969697,0.5085638998682477,0.8873563218390804
1.tif,NC,NC151,917,258,3,2,1.5,5.414213538169861,1.5,0.25,1.0
1.tif,NC,NC152,801,252,7,6,22.5,17.899494767189026,1.1666666666666667,0.5357142857142857,0.9782608695652174
1.tif,C,C37,625,249,27,18,268.0,76.76955199241638,1.5,0.551440329218107,0.8233486943164362
1.tif,C,C38,433,245,29,37,504.5,105.98275482654572,0.7837837837837838,0.4701770736253495,0.837344398340249
1.tif,NC,NC153,133,242,2,2,1.0,4.0,1.0,0.25,1.0
1.tif,NC,NC154,988,235,5,4,10.0,11.656854152679443,1.25,0.5,1.0
1.tif,NC,NC155,150,234,2,2,1.0,4.0,1.0,0.25,1.0
1.tif,C,C39,505,228,55,26,619.0,154.7106773853302,2.1153846153846154,0.43286713286713285,0.7231308411214953
1.tif,NC,NC156,883,226,3,2,2.0,6.0,1.5,0.3333333333333333,1.0
1.tif,NC,NC157,163,224,2,2,1.0,4.0,1.0,0.25,1.0
1.tif,C,C40,602,223,19,21,202.0,61.94112491607666,0.9047619047619048,0.506265664160401,0.8577494692144374
1.tif,C,C41,566,215,27,34,357.5,111.29646301269531,0.7941176470588235,0.38943355119825707,0.7318321392016377
1.tif,C,C42,503,205,36,18,346.0,99.74011445045471,2.0,0.5339506172839507,0.7473002159827213
1.tif,C,C43,614,198,50,33,633.0,138.02438497543335,1.5151515151515151,0.3836363636363636,0.7858472998137802
1.tif,NC,NC158,884,197,3,5,4.5,10.242640614509583,0.6,0.3,0.8181818181818182
1.tif,NC,NC159,148,188,7,8,28.5,20.727921724319458,0.875,0.5089285714285714,0.9661016949152542
1.tif,NC,NC160,770,186,2,1,0.0,2.0,2.0,0.0,0
1.tif,C,C44,606,180,20,12,122.0,53.11269760131836,1.6666666666666667,0.5083333333333333,0.8106312292358804
1.tif,C,C45,553,180,35,31,394.0,102.71067655086517,1.1290322580645162,0.3631336405529954,0.7943548387096774
1.tif,NC,NC161,15,179,1,1,0.0,0.0,1.0,0.0,0
1.tif,NC,NC162,662,177,2,3,2.0,6.0,0.6666666666666666,0.3333333333333333,1.0
1.tif,NC,NC163,686,172,3,2,2.0,6.0,1.5,0.3333333333333333,1.0
1.tif,NC,NC164,35,172,5,6,12.0,14.485281229019165,0.8333333333333334,0.4,0.8888888888888888
1.tif,NC,NC165,35,171,1,1,0.0,0.0,1.0,0.0,0
1.tif,NC,NC166,509,170,2,2,1.0,4.0,1.0,0.25,1.0
1.tif,NC,NC167,877,166,10,10,53.5,28.384775757789612,1.0,0.535,0.9469026548672567
1.tif,NC,NC168,0,165,1,1,0.0,0.0,1.0,0.0,0
1.tif,NC,NC169,238,163,2,4,2.0,6.828427076339722,0.5,0.25,1.0
1.tif,NC,NC170,2,163,3,3,0.0,5.656854152679443,1.0,0.0,0
1.tif,NC,NC171,530,161,3,3,3.0,6.828427076339722,1.0,0.3333333333333333,1.0
1.tif,NC,NC172,885,159,2,1,0.0,2.0,2.0,0.0,0
1.tif,NC,NC173,511,141,4,4,8.0,10.828427076339722,1.0,0.5,1.0
1.tif,NC,NC174,557,138,3,3,3.5,7.414213538169861,1.0,0.3888888888888889,1.0
1.tif,NC,NC175,484,137,3,4,5.0,8.828427076339722,0.75,0.4166666666666667,1.0
1.tif,NC,NC176,536,134,3,3,4.0,8.0,1.0,0.4444444444444444,1.0
1.tif,NC,NC177,495,133,2,3,2.0,6.0,0.6666666666666666,0.3333333333333333,1.0
1.tif,NC,NC178,431,126,4,4,7.5,10.242640614509583,1.0,0.46875,1.0
1.tif,NC,NC179,282,125,1,1,0.0,0.0,1.0,0.0,0
1.tif,NC,NC180,282,120,4,4,7.0,10.828427076339722,1.0,0.4375,0.9333333333333333
1.tif,NC,NC181,567,116,4,3,5.0,8.828427076339722,1.3333333333333333,0.4166666666666667,1.0
1.tif,NC,NC182,0,105,1,1,0.0,0.0,1.0,0.0,0
1.tif,NC,NC183,567,93,3,2,2.0,6.0,1.5,0.3333333333333333,1.0
1.tif,NC,NC184,963,77,4,7,12.5,17.071067690849304,0.5714285714285714,0.44642857142857145,0.8333333333333334
1.tif,NC,NC185,513,77,4,4,7.5,10.242640614509583,1.0,0.46875,1.0
1.tif,NC,NC186,428,77,3,2,2.0,6.0,1.5,0.3333333333333333,1.0
1.tif,NC,NC187,563,75,1,2,0.0,2.0,0.5,0.0,0
1.tif,NC,NC188,535,72,3,3,3.5,7.414213538169861,1.0,0.3888888888888889,1.0
1.tif,NC,NC189,424,64,3,2,1.5,5.414213538169861,1.5,0.25,1.0
1.tif,NC,NC190,20,64,7,6,20.5,17.899494647979736,1.1666666666666667,0.4880952380952381,0.9534883720930233
1.tif,NC,NC191,553,61,3,3,3.5,7.414213538169861,1.0,0.3888888888888889,1.0
1.tif,NC,NC192,535,61,3,2,2.0,6.0,1.5,0.3333333333333333,1.0
1.tif,NC,NC193,77,60,2,3,2.0,6.0,0.6666666666666666,0.3333333333333333,1.0
1.tif,NC,NC194,458,58,4,4,7.0,9.656854152679443,1.0,0.4375,1.0
1.tif,NC,NC195,437,55,4,5,9.5,12.242640614509583,0.8,0.475,0.95
1.tif,NC,NC196,490,49,2,3,1.5,5.414213538169861,0.6666666666666666,0.25,1.0
1.tif,NC,NC197,541,48,3,3,3.5,7.414213538169861,1.0,0.3888888888888889,1.0
1.tif,NC,NC198,570,43,2,3,2.0,6.0,0.6666666666666666,0.3333333333333333,1.0
1.tif,NC,NC199,498,40,3,3,3.5,7.414213538169861,1.0,0.3888888888888889,1.0
1.tif,NC,NC200,358,27,5,4,10.0,11.656854152679443,1.25,0.5,1.0
1.tif,NC,NC201,491,26,1,2,0.0,2.0,0.5,0.0,0
1.tif,NC,NC202,510,11,5,4,11.0,12.828427076339722,1.25,0.55,1.0
1.tif,NC,NC203,795,0,2,1,0.0,2.0,2.0,0.0,0
1.tif,NC,NC204,770,0,5,6,13.5,15.071067690849304,0.8333333333333334,0.45,0.9
1.tif,NC,NC205,506,0,5,3,5.0,10.828427076339722,1.6666666666666667,0.3333333333333333,0.8333333333333334
2.tif,NC,NC206,6,749,3,1,0.0,4.0,3.0,0.0,0
2.tif,NC,NC207,975,747,5,3,6.5,11.41421353816986,1.6666666666666667,0.43333333333333335,0.9285714285714286
2.tif,NC,NC208,63,745,5,5,9.5,13.899494767189026,1.0,0.38,0.8636363636363636
2.tif,NC,NC209,411,743,2,1,0.0,2.0,2.0,0.0,0
2.tif,NC,NC210,488,738,5,5,12.0,15.656854152679443,1.0,0.48,0.8571428571428571
2.tif,NC,NC211,300,738,6,6,13.5,15.899494767189026,1.0,0.375,0.9
2.tif,NC,NC212,664,737,1,1,0.0,0.0,1.0,0.0,0
2.tif,NC,NC213,224,737,4,4,6.5,10.242640614509583,1.0,0.40625,0.9285714285714286
2.tif,NC,NC214,360,736,3,2,0.0,4.828427076339722,1.5,0.0,0.0
2.tif,NC,NC215,251,735,4,4,6.0,9.656854152679443,1.0,0.375,1.0
2.tif,NC,NC216,845,734,7,16,52.0,38.485281229019165,0.4375,0.4642857142857143,0.8666666666666667
2.tif,NC,NC217,340,734,7,7,26.5,19.899494767189026,1.0,0.5408163265306123,0.9636363636363636
2.tif,NC,NC218,699,728,3,4,4.5,8.242640614509583,0.75,0.375,1.0
2.tif,NC,NC219,841,724,5,3,6.5,10.242640614509583,1.6666666666666667,0.43333333333333335,1.0
2.tif,NC,NC220,49,724,5,6,14.0,14.485281229019165,0.8333333333333334,0.4666666666666667,0.9655172413793104
2.tif,NC,NC221,255,722,4,4,7.5,10.242640614509583,1.0,0.46875,1.0
2.tif,NC,NC222,90,722,6,6,21.5,17.071067690849304,1.0,0.5972222222222222,1.0
2.tif,NC,NC223,745,720,7,6,23.5,17.899494767189026,1.1666666666666667,0.5595238095238095,1.0
2.tif,NC,NC224,599,720,5,5,12.0,13.656854152679443,1.0,0.48,0.9230769230769231
2.tif,NC,NC225,227,719,8,8,30.5,21.55634880065918,1.0,0.4765625,0.953125
2.tif,NC,NC226,464,717,3,3,1.5,6.2426406145095825,1.0,0.16666666666666666,1.0
2.tif,NC,NC227,770,716,4,4,8.5,11.41421353816986,1.0,0.53125,1.0
2.tif,NC,NC228,20,716,5,5,10.5,13.071067690849304,1.0,0.42,0.9545454545454546
2.tif,NC,NC229,623,713,5,4,9.5,12.242640614509583,1.25,0.475,1.0
2.tif,NC,NC230,266,713,5,5,11.0,13.656854152679443,1.0,0.44,0.9166666666666666
2.tif,NC,NC231,100,712,4,3,4.5,8.242640614509583,1.3333333333333333,0.375,1.0
2.tif,NC,NC232,447,711,14,16,123.0,45.455843567848206,0.875,0.5491071428571429,0.9571984435797666
2.tif,NC,NC233,80,710,5,5,11.5,13.071067690849304,1.0,0.46,0.9583333333333334
2.tif,NC,NC234,844,709,5,3,4.5,10.242640614509583,1.6666666666666667,0.3,0.9
2.tif,NC,NC235,797,706,5,5,12.0,13.656854152679443,1.0,0.48,0.96
2.tif,NC,NC236,522,704,4,4,4.5,10.242640614509583,1.0,0.28125,0.8181818181818182
2.tif,NC,NC237,233,702,3,3,3.5,7.414213538169861,1.0,0.3888888888888889,1.0
2.tif,NC,NC238,313,701,2,1,0.0,2.0,2.0,0.0,0
2.tif,NC,NC239,175,701,5,5,10.0,12.485281229019165,1.0,0.4,0.9523809523809523
2.tif,NC,NC240,155,697,2,3,1.5,5.414213538169861,0.6666666666666666,0.25,1.0
2.tif,NC,NC241,863,693,3,2,1.0,4.828427076339722,1.5,0.16666666666666666,1.0
2.tif,NC,NC242,186,689,7,7,23.0,19.313708186149597,1.0,0.46938775510204084,1.0
2.tif,NC,NC243,29,685,12,9,40.0,30.627416968345642,1.3333333333333333,0.37037037037037035,0.9302325581395349
